Sentence,Mood
Mujhe aaj bahut khushi hai,Happy
Mujhe uski yaad aa rahi hai,Sad
Mujhe lagta hai sab theek hai,Normal
Mujhe kaafi stress ho raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne mujhe ignore kar diya,Sad
Mujhe thoda bura lag raha hai,Normal
Padhai bahut zyada ho rahi hai,Stressed
Main aaj badi khush hoon,Happy
Ghar par sab theek hai,Normal
Mujhe kuch samajh nahi aa raha,Stressed
Kal test hai,Stressed
Mujhe uski yaad bahut aati hai,Sad
Mujhe ghar jaana hai,Sad
Mujhe lag raha hai mujhe bukhaar hai,Normal
Padhai ka load zyada ho raha hai,Stressed
Main aaj bohot khush hoon,Happy
Usne mere saath dhoka kiya, Sad
Aaj mausam bahut achha hai,Normal
Mujhe test ke liye stress ho raha hai,Stressed
Mujhe ppt ke liye stress ho raha hai,Stressed
Mujhe aaj bohot accha laga,Happy
Mujhe unka message nahi mila, Sad
Mujhe thodi si bimar hai,Normal
padhai samjhne mein mushkil ho rahi hai,Stressed
Maine aaj shopping ki,Normal
Usne mujhse jhoot bola, Sad
Aaj sab kuch theek thaak hai,Normal
Mujhe class mein zyada kaam mila hai,Stressed
Arey boht sara padhna hai,Stressed
Main aaj bohot khush hoon,Happy
Usne mujhe gift diya, Happy
Mujhe thoda gussa aa raha hai,Normal
Mujhe yahan acha nahi lag raha hai,sad
Aaj kaafi achha din tha,Happy
Usne mere sapne tode, Sad
Mujhe neend aa rahi hai,Normal
Life mein tension ho rahi hai,Stressed
Mujhe aaj party mein jaana hai,Happy
Usne mere dil ko dukhaya, Sad
Mujhe kuch samajh nahi aa raha hai,Stressed
Mujhe office mein bahut pressure hai,Stressed
Main aaj badi khush hoon,Happy
Usne mujhe ignore kiya, Sad
Mujhe ghar ki yaad aa rahi hai,Sad
Kaam ka load zyada hai,Stressed
Mujhe aaj kuch khushi nahi ho rahi,Sad
Usne mera dil dukhaya, Sad
Aaj kaafi normal din tha,Normal
Mujhe kaafi stress ho raha hai,Stressed
Mujhe aaj bahut achha laga,Happy
Mujhe thoda bukhaar hai,Normal
Main aaj bohot khush hoon,Happy
Usne mujhe gift diya,Happy
Aaj kaafi normal din tha,Normal
Mujhe kaam karne mein tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe ignore kar diya, Sad
Mujhe ghar jaana hai,Normal
Rehne mein mushkil ho rahi hai,Stressed
Maine aaj kuch naya seekha,Happy
Usne mujhse baat nahi ki, Sad
Backlog boht ho raha hai,Stressed
Main aaj badi khush hoon,Happy
Usne mujhe hurt kiya, Sad
Mujhe thoda gussa aa raha hai,Normal
Aaj ka din bahut achha tha,Happy
Usne mujhse jhoot bola, Sad
Mujhe aaj kuch samajh nahi aa raha,Normal
Mujhe kaam mein tension ho rahi hai,Stressed
Main aaj bohot khush hoon,Happy
Usne mere saath cheat kiya, Sad
Mujhe thoda bukhaar hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe ignore kar diya, Sad
Mujhe ghar jaana hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Usne mujhse baat nahi ki, Sad
kuch samajh nahi aa raha,Stressed
Kaam ka bojh zyada ho raha hai,Stressed
Usne mujhe hurt bhot kiya, Sad
Mujhe thoda bhot gussa aa raha hai,Normal
Kaam karne mein maza aa raha hai,Happy
Aaj ka din bahut achha tha,Happy
Usne mujhse jhoot bola, Sad
Mujhe kaam mein tension ho rahi hai,Stressed
Aaj ki subah bahut khushnuma thi,Happy
Mujhe uski yaad bahut aa rahi hai,Sad
Sab kuch normal lag raha hai,Normal
Kaam ka pressure badh gya hai,Stressed
Main aaj bada khush hoon,Happy
Usne mujhe dukh diya,Sad
kuch alag feel ho raha hai,Normal
Coaching mein kaafi stress hai,Stressed
Mujhe aaj bada khushi hua,Happy
Ghar par sab kuch theek hai,Normal
Mujhe ab samajh aaya,Normal
Exams ki tension ho rahi hai,Stressed
Mujhe uski yaad bahut aati hai,Sad
Mujhe ghar jaana hai,Sad
Thoda sa bimar lag raha hai,Normal
sab theek hai,Normal
test acha gaya,Happy
rank gir gayi, Sad
sahi chal raha hai,Normal
padhai nahi ho pa rahi,Stressed
room acha hai,Happy
Uska message nahi aaya, Sad
abhi to marks theek aye hain,Normal
khana bilkul acha nahi hai,Stressed
Aaj to mithai mili,Happy
Usne sapne tod diye, Sad
Neend aa rahi hai,Normal
teacher ko padhana nahi ata,Stressed
Mujhe aaj party mein jaana hai,Happy
Yahan kaafi pressure hai,Stressed
ghar ke khane ki yaad a rahi hai,Sad
Kaam karne mein mushkil ho rahi hai,Stressed
mann nahi lag raha,Sad
Usne dhoka diya, Sad
Din normal guzra,Normal
Ghar jaana hai,Normal
Usne mujhse baat nahi ki, Sad
Kaam ka pressure badh raha hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe hurt kiya, Sad
Gussa aa raha hai,Normal
koi friend hi nahi hai,Stressed
aaj teacher ne taareef kari,Happy
Usne jhoot bola, Sad
Mujhe tension ho rahi hai,Stressed
friend ke sath ghumne gaya,Happy
friend se ladai ho gayi, Sad
coaching ke teacher hain,Normal
teacher ne class ke bahar pakad liya,Stressed
dost ne treat di,Happy
Usne mujhse baat nahi ki, Sad
friend ke sath rehta hun,Normal
marks hi nahi aate,Stressed
aj to coaching ka off tha,Happy
coaching pe kisi ne suicide kar liya,Sad
coaching sahi chal rahi hai,Normal
padhne ka time nahi mil raha,Stressed
coaching par party thi,Happy
teacher ne dhyan hi nahi diya, Sad
Mujhe aaj kuch alag feel ho raha hai,Normal
class mein kaafi stress hai,Stressed
aaj bahut khushi hai,Happy
uski yaad aa rahi hai,Sad
sab theek lag rahah hai,Normal
kaafi stress ho raha hai,Stressed
din bahut achha tha,Happy
ignore kar diya usne mujhe,Sad
Mujhe bura lag raha hai,Normal
class me Padhai zyada ho rahi hai,Stressed
Main aaj boht khush hoon,Happy
Ghar me sab theek hai,Normal
kal test hi hai,Stressed
uski yaad bahut aati hai,Sad
ghar jaana hai,Sad
mujhe bukhaar tha,Normal
coaching me accha nahi padha rahe,Stressed
aaj ka din accha gya,Happy
Usne dhoka diya, Sad
mausam achha hai,Normal
test ka stress hai,Stressed
